onset	duration	nwb_table	label
0.0	308400.0	epochs	
0.0256	7.0144	trials	
5.0	332.0	states	Awake
8.2176	5.7856000000000005	trials	
24.4736	3.3279999999999994	trials	
28.5184	5.299199999999999	trials	
36.0704	3.123200000000004	trials	
45.2864	5.375999999999998	trials	
64.128	2.636799999999994	trials	
70.0416	2.4831999999999965	trials	
73.728	12.108800000000002	trials	
96.64	6.7327999999999975	trials	
112.896	7.654399999999995	trials	
128.6656	5.913599999999974	trials	
136.5248	4.73599999999999	trials	
144.0768	5.145600000000002	trials	
152.3712	2.176000000000016	trials	
156.6464	6.400000000000006	trials	
163.6608	2.739200000000011	trials	
167.2192	4.761599999999987	trials	
174.5664	5.427199999999999	trials	
181.0944	4.172799999999995	trials	
190.4896	2.8415999999999997	trials	
198.7584	9.753600000000006	trials	
209.1264	3.584000000000003	trials	
227.7632	3.7375999999999863	trials	
238.4896	3.2256000000000142	trials	
245.632	2.201599999999985	trials	
252.3136	4.710399999999993	trials	
258.5856	3.7375999999999863	trials	
276.8896	6.041600000000017	trials	
283.5712	5.017600000000016	trials	
307.6352	2.3040000000000305	trials	
338.0	8.0	states	Non-REM
347.0	281.0	states	Awake
629.0	87.0	states	Non-REM
717.0	36.0	states	Awake
754.0	48.0	states	Non-REM
803.0	12.0	states	Awake
816.0	22.0	states	Non-REM
839.0	18.0	states	Awake
858.0	87.0	states	Non-REM
946.0	18.0	states	Awake
965.0	23.0	states	Non-REM
989.0	651.0	states	Awake
1641.0	55.0	states	Non-REM
1697.0	9.0	states	Awake
1707.0	89.0	states	Non-REM
1797.0	43.0	states	Awake
1841.0	25.0	states	Non-REM
1867.0	362.0	states	Awake
2230.0	7.0	states	Non-REM
2238.0	177.0	states	Awake
2416.0	16.0	states	Non-REM
2433.0	52.0	states	Awake
2486.0	109.0	states	Non-REM
2596.0	8.0	states	Awake
2605.0	12.0	states	Non-REM
2618.0	8.0	states	Awake
2627.0	50.0	states	Non-REM
2678.0	11.0	states	Awake
2690.0	56.0	states	Non-REM
2747.0	517.0	states	Awake
3265.0	8.0	states	Non-REM
3274.0	52.0	states	Awake
3327.0	9.0	states	Non-REM
3337.0	26.0	states	Awake
3364.0	137.0	states	Non-REM
3502.0	14.0	states	Awake
3517.0	213.0	states	Non-REM
3731.0	13.0	states	Awake
3745.0	58.0	states	Non-REM
3804.0	15.0	states	Awake
3820.0	42.0	states	Non-REM
3863.0	15.0	states	REM
3879.0	15.0	states	Awake
3895.0	121.0	states	Non-REM
4017.0	12.0	states	REM
4030.0	10.0	states	Awake
4041.0	50.0	states	Non-REM
4092.0	26.0	states	Awake
4119.0	15.0	states	REM
4135.0	39.0	states	Awake
4175.0	53.0	states	Non-REM
4229.0	32.0	states	Awake
4262.0	161.0	states	Non-REM
4424.0	170.0	states	REM
4595.0	667.0	states	Awake
5263.0	8.0	states	Non-REM
5272.0	94.0	states	Awake
5367.0	153.0	states	Non-REM
5521.0	136.0	states	Awake
5658.0	24.0	states	Non-REM
5683.0	103.0	states	Awake
5787.0	139.0	states	Non-REM
5927.0	47.0	states	Awake
5975.0	84.0	states	Non-REM
6060.0	13.0	states	Awake
6074.0	84.0	states	Non-REM
6159.0	36.0	states	Awake
6196.0	71.0	states	Non-REM
6268.0	18.0	states	Awake
6287.0	41.0	states	Non-REM
6329.0	16.0	states	Awake
6346.0	50.0	states	REM
6397.0	13.0	states	Awake
6411.0	115.0	states	Non-REM
6527.0	32.0	states	REM
6560.0	31.0	states	Awake
6592.0	132.0	states	Non-REM
6725.0	120.0	states	REM
6846.0	439.0	states	Awake
7286.0	140.0	states	Non-REM
7427.0	8.0	states	Awake
7436.0	121.0	states	Non-REM
7558.0	47.0	states	REM
7606.0	228.0	states	Awake
7835.0	7.0	states	Non-REM
7843.0	14.0	states	Awake
7858.0	31.0	states	Non-REM
7890.0	8.0	states	Awake
7899.0	151.0	states	Non-REM
8051.0	34.0	states	Awake
8086.0	76.0	states	Non-REM
8163.0	49.0	states	Awake
8213.0	151.0	states	Non-REM
8365.0	7.0	states	Awake
8373.0	13.0	states	Non-REM
8387.0	10.0	states	Awake
8398.0	44.0	states	REM
8443.0	40.0	states	Awake
8484.0	177.0	states	Non-REM
8662.0	183.0	states	REM
8846.0	14.0	states	Awake
8861.0	212.0	states	Non-REM
9074.0	31.0	states	REM
9106.0	25.0	states	Awake
9132.0	20.0	states	Non-REM
9153.0	2993.0	states	Awake
9213.5168	8.832000000000335	trials	
9232.0768	7.091199999998935	trials	
9239.7568	2.790400000001682	trials	
9245.952	3.635200000000623	trials	
9250.5856	3.0463999999992666	trials	
9265.1008	2.3040000000000873	trials	
9275.5456	4.505600000000413	trials	
9286.4256	2.48319999999876	trials	
9308.544	5.376000000000204	trials	
9314.816	4.684799999999086	trials	
9324.3904	2.2783999999992375	trials	
9330.816	2.48319999999876	trials	
9351.9104	4.556799999998475	trials	
9365.0176	5.273600000000442	trials	
9371.5968	3.8400000000001455	trials	
9376.6144	2.073599999999715	trials	
9382.4768	5.555199999998877	trials	
9407.2576	3.1743999999998778	trials	
9410.9696	4.121600000000399	trials	
9456.9216	2.8927999999996246	trials	
9466.1376	4.352000000000771	trials	
9479.5264	4.044799999999668	trials	
9484.1344	2.2783999999992375	trials	
9505.152	2.5599999999994907	trials	
9508.4032	2.4319999999988795	trials	
9520.4352	2.7391999999999825	trials	
9551.3088	3.5072000000000116	trials	
9555.6096	2.5856000000003405	trials	
9559.2192	6.220800000000963	trials	
9578.6496	2.5855999999985215	trials	
9587.9168	2.380799999998999	trials	
9592.9856	2.6111999999993714	trials	
9605.248	5.427200000000084	trials	
9623.0144	5.196799999999712	trials	
9629.0048	6.70719999999892	trials	
9644.0576	2.2528000000002066	trials	
9710.2336	3.0208000000002357	trials	
9718.8352	2.483200000000579	trials	
9722.624	3.584000000000742	trials	
9728.1536	2.7136000000009517	trials	
9731.4816	2.1504000000004453	trials	
9799.936	2.3040000000000873	trials	
9805.7472	2.201600000000326	trials	
9834.5728	2.1504000000004453	trials	
9846.5792	2.355199999999968	trials	
9898.8032	4.070400000000518	trials	
9912.5248	2.0736000000015338	trials	
9975.808	2.7647999999990134	trials	
10005.6576	2.201600000000326	trials	
10009.1392	3.942399999999907	trials	
10088.832	2.3040000000000873	trials	
10095.7184	2.662400000001071	trials	
10150.9888	2.9184000000004744	trials	
10161.0752	2.3040000000000873	trials	
10184.6528	2.4320000000006985	trials	
10195.0464	2.2784000000010565	trials	
10202.9056	3.3791999999994005	trials	
10212.9408	6.144000000000233	trials	
10235.392	2.073599999999715	trials	
10282.7008	3.148799999999028	trials	
10361.1136	10.13760000000002	trials	
10534.5536	2.636800000000221	trials	
10544.4608	2.0991999999987456	trials	
10568.1408	2.5600000000013097	trials	
10620.5952	2.5599999999994907	trials	
10770.8928	3.123199999999997	trials	
10789.4016	9.011200000000827	trials	
10801.2288	5.478399999999965	trials	
10817.9456	3.2000000000007276	trials	
10829.824	2.636800000000221	trials	
10848.896	2.4063999999998487	trials	
10882.048	5.427200000000084	trials	
10910.4384	2.8928000000014435	trials	
10916.2496	3.737600000000384	trials	
10935.8592	11.391999999999825	trials	
10953.1392	2.995200000001205	trials	
10957.7984	3.6607999999996537	trials	
10963.968	2.815999999998894	trials	
10972.7232	2.7135999999991327	trials	
10978.3296	2.2784000000010565	trials	
10981.6064	4.300799999999072	trials	
10992.1024	2.636800000000221	trials	
11008.9984	4.14719999999943	trials	
11029.9904	4.300799999999072	trials	
11039.36	2.5855999999985215	trials	
11050.1888	3.1743999999998778	trials	
11059.3024	5.119999999998981	trials	
11089.8688	2.1247999999995955	trials	
11109.7856	4.326399999999921	trials	
11116.032	2.4320000000006985	trials	
11121.8176	4.556800000000294	trials	
11128.6784	5.86239999999998	trials	
11136.4608	2.8671999999987747	trials	
11146.9056	5.427200000000084	trials	
11154.304	2.1247999999995955	trials	
11158.912	7.1424000000006345	trials	
11173.9904	3.6607999999996537	trials	
11199.8208	7.014400000000023	trials	
11208.064	2.047999999998865	trials	
11211.8016	2.0991999999987456	trials	
11233.3824	5.811200000000099	trials	
11247.9744	5.811200000000099	trials	
11254.5792	2.7647999999990134	trials	
11261.1072	2.636800000000221	trials	
11271.6032	3.3536000000003696	trials	
11276.672	4.863999999999578	trials	
11298.7648	3.5072000000000116	trials	
11313.5616	2.687999999998283	trials	
11317.376	3.5583999999998923	trials	
11322.7008	3.456000000000131	trials	
11331.8144	4.198400000001129	trials	
11349.9648	3.584000000000742	trials	
11374.464	3.7119999999995343	trials	
11378.688	4.889600000000428	trials	
11422.7456	2.1247999999995955	trials	
11526.4768	2.815999999998894	trials	
11552.0768	2.073599999999715	trials	
11629.3376	3.456000000000131	trials	
11634.5856	2.2783999999992375	trials	
11647.0272	2.4575999999997293	trials	
11682.8672	2.1503999999986263	trials	
11686.7328	3.3536000000003696	trials	
11706.4192	3.5327999999990425	trials	
11722.7008	3.481599999999162	trials	
11732.7872	3.9679999999989377	trials	
11742.1312	7.270399999999427	trials	
11756.8512	2.2528000000002066	trials	
11760.4352	4.6335999999992055	trials	
11767.7056	3.456000000000131	trials	
11772.3904	7.475199999998949	trials	
11782.9888	3.302400000000489	trials	
11788.6976	2.5600000000013097	trials	
11803.008	2.816000000000713	trials	
11813.504	4.275200000000041	trials	
11824.128	3.9935999999997875	trials	
11833.1904	2.0992000000005646	trials	
11839.2832	3.302400000000489	trials	
11848.0128	2.1247999999995955	trials	
11864.2176	6.272000000000844	trials	
11879.6544	2.2784000000010565	trials	
11886.976	3.481599999999162	trials	
11901.2352	2.53440000000046	trials	
11904.3328	2.329599999999118	trials	
11907.2256	15.027200000000448	trials	
11929.088	2.048000000000684	trials	
11936.2048	2.4063999999998487	trials	
11943.8592	3.1743999999998778	trials	
11995.0336	3.5583999999998923	trials	
12016.2304	2.815999999998894	trials	
12031.2832	2.790399999999863	trials	
12054.8864	2.53440000000046	trials	
12084.4544	2.790399999999863	trials	
12147.0	7.0	states	Non-REM
12155.0	13.0	states	Awake
12169.0	7.0	states	Non-REM
12177.0	1126.0	states	Awake
12202.112	6.246399999999994	trials	
12209.8176	6.399999999999636	trials	
12216.8064	3.148800000000847	trials	
12226.5088	2.048000000000684	trials	
12231.68	10.316800000000512	trials	
12244.4032	3.0463999999992666	trials	
12255.5392	6.374400000000605	trials	
12262.7328	2.7648000000008324	trials	
12268.416	4.019200000000637	trials	
12282.24	9.24159999999938	trials	
12308.5824	2.355199999999968	trials	
12361.6256	3.481600000000981	trials	
12402.688	3.6864000000005035	trials	
12410.0608	5.91359999999986	trials	
12422.9888	2.176000000001295	trials	
12431.8976	4.172800000000279	trials	
12436.5824	3.2512000000006083	trials	
12460.7488	4.377599999999802	trials	
12475.2128	2.380800000000818	trials	
12482.1504	2.4319999999988795	trials	
12491.392	2.2784000000010565	trials	
12500.1472	3.2512000000006083	trials	
12504.192	2.022400000001653	trials	
12511.0784	4.275200000000041	trials	
12526.6432	8.883200000000215	trials	
12552.1408	2.176000000001295	trials	
12561.408	3.635200000000623	trials	
12568.6272	7.244799999998577	trials	
12581.5296	2.4575999999997293	trials	
12586.624	4.352000000000771	trials	
12603.6224	3.942399999999907	trials	
12612.1984	3.276800000001458	trials	
12617.3184	2.2783999999992375	trials	
12620.6464	3.584000000000742	trials	
12630.528	4.403200000000652	trials	
12640.384	3.1743999999998778	trials	
12653.0304	5.657600000000457	trials	
12659.2512	2.380799999998999	trials	
12665.3696	5.04320000000007	trials	
12722.2016	2.7135999999991327	trials	
12735.9488	7.014400000000023	trials	
12744.064	2.1504000000004453	trials	
12746.88	4.966400000001158	trials	
12754.4064	4.454400000000533	trials	
12769.9712	4.761599999999817	trials	
12776.9856	4.352000000000771	trials	
12781.9008	4.505600000000413	trials	
12805.3504	4.864000000001397	trials	
13304.0	13.0	states	Non-REM
13318.0	282.0	states	Awake
13601.0	40.0	states	Non-REM
13642.0	89.0	states	Awake
13732.0	17.0	states	Non-REM
13750.0	180.0	states	Awake
13931.0	7.0	states	Non-REM
13939.0	106.0	states	Awake
14046.0	16.0	states	Non-REM
14063.0	19.0	states	Awake
14083.0	7.0	states	Non-REM
14091.0	20.0	states	Awake
14112.0	7.0	states	Non-REM
14120.0	23.0	states	Awake
14144.0	25.0	states	Non-REM
14170.0	11.0	states	Awake
14182.0	27.0	states	Non-REM
14210.0	24.0	states	Awake
14235.0	17.0	states	Non-REM
14253.0	42.0	states	Awake
14296.0	13.0	states	Non-REM
14310.0	9.0	states	Awake
14320.0	21.0	states	Non-REM
14342.0	18.0	states	Awake
14361.0	7.0	states	Non-REM
14369.0	24.0	states	Awake
14394.0	19.0	states	Non-REM
14414.0	24.0	states	Awake
14439.0	19.0	states	Non-REM
14459.0	28.0	states	Awake
14488.0	10.0	states	Non-REM
14499.0	24.0	states	Awake
14524.0	10.0	states	Non-REM
14535.0	356.0	states	Awake
14892.0	416.0	states	Non-REM
15309.0	24.0	states	Awake
15334.0	60.0	states	Non-REM
15395.0	21.0	states	Awake
15417.0	81.0	states	Non-REM
15499.0	9.0	states	REM
15509.0	20.0	states	Awake
15530.0	14.0	states	Non-REM
15545.0	7.0	states	Awake
15553.0	53.0	states	Non-REM
15607.0	10.0	states	Awake
15618.0	69.0	states	Non-REM
15688.0	22.0	states	Awake
15711.0	16.0	states	REM
15728.0	10.0	states	Awake
15739.0	30.0	states	REM
15770.0	11.0	states	Awake
15782.0	48.0	states	REM
15831.0	37.0	states	Awake
15869.0	331.0	states	Non-REM
16201.0	9.0	states	REM
16211.0	10.0	states	Awake
16222.0	78.0	states	Non-REM
16301.0	9.0	states	Awake
16311.0	8.0	states	REM
16320.0	14.0	states	Awake
16335.0	149.0	states	Non-REM
16485.0	18.0	states	REM
16504.0	61.0	states	Non-REM
16566.0	14.0	states	REM
16581.0	70.0	states	Non-REM
16652.0	60.0	states	REM
16713.0	975.0	states	Awake
17689.0	52.0	states	Non-REM
17742.0	142.0	states	Awake
17885.0	79.0	states	Non-REM
17965.0	10.0	states	Awake
17976.0	72.0	states	Non-REM
18049.0	14.0	states	Awake
18064.0	144.0	states	Non-REM
18209.0	9.0	states	Awake
18219.0	130.0	states	Non-REM
18350.0	11.0	states	Awake
18362.0	53.0	states	Non-REM
18416.0	7.0	states	Awake
18424.0	15.0	states	REM
18440.0	7.0	states	Awake
18448.0	16.0	states	REM
18465.0	17.0	states	Awake
18483.0	29.0	states	REM
18513.0	11.0	states	Awake
18525.0	20.0	states	Non-REM
18546.0	52.0	states	Awake
18599.0	95.0	states	Non-REM
18695.0	104.0	states	Awake
18800.0	58.0	states	Non-REM
18859.0	30.0	states	Awake
18890.0	57.0	states	Non-REM
18948.0	29.0	states	Awake
18978.0	128.0	states	Non-REM
19107.0	36.0	states	Awake
19144.0	107.0	states	Non-REM
19252.0	9.0	states	Awake
19262.0	92.0	states	Non-REM
19355.0	17.0	states	REM
19373.0	61.0	states	Non-REM
19435.0	65.0	states	REM
19501.0	452.0	states	Awake
19954.0	13.0	states	Non-REM
19968.0	26.0	states	Awake
19995.0	74.0	states	Non-REM
20070.0	282.0	states	Awake
20353.0	8.0	states	Non-REM
20362.0	515.0	states	Awake
20878.0	10.0	states	Non-REM
20889.0	20.0	states	Awake
20910.0	284.0	states	Non-REM
21195.0	12.0	states	Awake
21208.0	7.0	states	Non-REM
21216.0	47.0	states	Awake
21264.0	42.0	states	Non-REM
21265.4592	2.7135999999991327	trials	
21272.0896	2.5856000000021595	trials	
21278.1568	2.687999999998283	trials	
21285.376	3.0463999999992666	trials	
21295.9488	3.942399999999907	trials	
21300.736	8.166399999998248	trials	
21307.0	58.0	states	Awake
21327.1552	2.636800000000221	trials	
21330.7136	2.1248000000014144	trials	
21335.6032	9.1903999999995	trials	
21347.7632	3.737600000000384	trials	
21358.7968	4.9408000000003085	trials	
21366.0	21.0	states	Non-REM
21369.5744	3.6863999999986845	trials	
21379.7632	4.403199999997014	trials	
21386.3936	3.9680000000007567	trials	
21388.0	38.0	states	Awake
21391.5392	13.670399999999063	trials	
21406.2336	10.368000000002212	trials	
21418.0608	2.636800000000221	trials	
21427.0	13.0	states	Non-REM
21432.2944	6.6560000000026776	trials	
21441.0	10.0	states	Awake
21441.5872	6.323199999998906	trials	
21452.0	10.0	states	Non-REM
21456.0256	8.140799999997398	trials	
21463.0	33.0	states	Awake
21478.9888	6.451199999999517	trials	
