onset	duration	nwb_table	label
0.0	191000.0	epochs	
5.0	667.0	states	Awake
673.0	11.0	states	Non-REM
685.0	50.0	states	Awake
736.0	48.0	states	Non-REM
785.0	334.0	states	Awake
1120.0	52.0	states	Non-REM
1173.0	791.0	states	Awake
1965.0	12.0	states	Non-REM
1978.0	26.0	states	Awake
2005.0	77.0	states	Non-REM
2083.0	23.0	states	Awake
2107.0	77.0	states	Non-REM
2185.0	67.0	states	Awake
2253.0	145.0	states	Non-REM
2399.0	873.0	states	Awake
3273.0	69.0	states	Non-REM
3343.0	296.0	states	Awake
3640.0	27.0	states	Non-REM
3668.0	10.0	states	Awake
3679.0	37.0	states	Non-REM
3717.0	10.0	states	Awake
3728.0	373.0	states	Non-REM
4102.0	38.0	states	REM
4141.0	23.0	states	Awake
4165.0	159.0	states	Non-REM
4325.0	20.0	states	Awake
4346.0	89.0	states	Non-REM
4436.0	27.0	states	REM
4464.0	39.0	states	Awake
4504.0	315.0	states	Non-REM
4820.0	100.0	states	REM
4921.0	43.0	states	Awake
4965.0	217.0	states	Non-REM
5183.0	11.0	states	REM
5195.0	14.0	states	Awake
5210.0	50.0	states	Non-REM
5261.0	135.0	states	REM
5397.0	470.0	states	Awake
5868.0	50.0	states	Non-REM
5919.0	48.0	states	Awake
5968.0	435.0	states	Non-REM
6404.0	57.0	states	REM
6462.0	381.0	states	Awake
6844.0	47.0	states	Non-REM
6892.0	17.0	states	Awake
6910.0	17.0	states	Non-REM
6928.0	1006.0	states	Awake
7935.0	15.0	states	Non-REM
7951.0	11.0	states	Awake
7963.0	52.0	states	Non-REM
8016.0	2113.0	states	Awake
10130.0	22.0	states	Non-REM
10153.0	24.0	states	Awake
10178.0	350.0	states	Non-REM
10529.0	647.0	states	Awake
11177.0	56.0	states	Non-REM
11234.0	28.0	states	Awake
11263.0	394.0	states	Non-REM
11658.0	104.0	states	REM
11763.0	51.0	states	Awake
11815.0	419.0	states	Non-REM
12235.0	10.0	states	REM
12246.0	55.0	states	Non-REM
12302.0	41.0	states	REM
12344.0	19.0	states	Awake
12364.0	185.0	states	Non-REM
12550.0	122.0	states	REM
12673.0	20.0	states	Awake
12694.0	16.0	states	Non-REM
12711.0	18.0	states	REM
12730.0	12.0	states	Awake
12743.0	71.0	states	Non-REM
12815.0	899.0	states	Awake
13715.0	641.0	states	Non-REM
14357.0	17.0	states	Awake
14375.0	72.0	states	Non-REM
14448.0	10.0	states	REM
14459.0	80.0	states	Non-REM
14540.0	125.0	states	REM
14666.0	24.0	states	Awake
14691.0	19.0	states	REM
14711.0	1465.0	states	Awake
16177.0	405.0	states	Non-REM
16583.0	31.0	states	REM
16615.0	52.0	states	Awake
16668.0	59.0	states	Non-REM
16728.0	418.0	states	Awake
17147.0	45.0	states	Non-REM
17193.0	641.0	states	Awake
191000.0	8126400.0	epochs	
8317400.0	1364000.0	epochs	
9681400.0	5742000.0	epochs	
15423400.0	1812300.0	epochs	
17235700.0	603500.0	epochs	
